Pressure [Pa]	Gas Volume Fraction [-]	Oil Volume Fraction [-]	Water Volume Fraction [-]	Mixture Velocity [m/s]	Gas Velocity [m/s]	Oil Velocity [m/s]	Water Velocity [m/s]
1002307.047	0.4995332338	0	0.5004667662	0.9455964044	0.04011247954	0.9507009371	0.9498176422
1002317.21	0.4995311559	0	0.5004688441	0.9455347938	0.04002895792	0.9506393878	0.9497561415
1002327.373	0.4995290781	0	0.5004709219	0.9454729188	0.0399450559	0.9505775743	0.9496943768
1002337.536	0.4995270004	0	0.5004729996	0.9454107793	0.03986077345	0.9505154966	0.9496323483
1002347.698	0.4995249229	0	0.5004750771	0.9453483752	0.03977611053	0.9504531547	0.9495700557
1002357.859	0.4995228454	0	0.5004771546	0.9452857066	0.03969106709	0.9503905486	0.9495074991
1002368.021	0.4995207681	0	0.5004792319	0.9452227735	0.0396056431	0.9503276782	0.9494446786
1002378.181	0.4995186909	0	0.5004813091	0.9451595758	0.03951983852	0.9502645435	0.949381594
1002388.342	0.4995166138	0	0.5004833862	0.9450961135	0.03943365332	0.9502011445	0.9493182453
1002398.502	0.4995145368	0	0.5004854632	0.9450323865	0.03934708746	0.9501374811	0.9492546325
1002408.661	0.4995124599	0	0.5004875401	0.9449683949	0.0392601409	0.9500735534	0.9491907556
1002418.82	0.4995103831	0	0.5004896169	0.9449041386	0.03917281362	0.9500093613	0.9491266146
1002428.978	0.4995083065	0	0.5004916935	0.9448396176	0.03908510557	0.9499449048	0.9490622095
1002439.136	0.49950623	0	0.50049377	0.9447748319	0.03899701673	0.9498801839	0.9489975401
1002449.293	0.4995041536	0	0.5004958464	0.9447097815	0.03890854707	0.9498151985	0.9489326066
1002459.45	0.4995020773	0	0.5004979227	0.9446444663	0.03881969655	0.9497499487	0.9488674088
1002469.607	0.4995000012	0	0.5004999988	0.9445788863	0.03873046514	0.9496844343	0.9488019468
1002479.763	0.4994979252	0	0.5005020748	0.9445130415	0.03864085282	0.9496186555	0.9487362205
1002489.918	0.4994958493	0	0.5005041507	0.9444469319	0.03855085956	0.9495526121	0.94867023
1002500.073	0.4994937735	0	0.5005062265	0.9443805575	0.03846048532	0.9494863042	0.9486039752
1002510.227	0.4994916979	0	0.5005083021	0.9443139182	0.03836973009	0.9494197318	0.948537456
1002520.381	0.4994896224	0	0.5005103776	0.9442470141	0.03827859384	0.9493528948	0.9484706726
1002530.534	0.4994875471	0	0.5005124529	0.9441798451	0.03818707654	0.9492857931	0.9484036248
1002540.687	0.4994854718	0	0.5005145282	0.9441124111	0.03809517816	0.9492184269	0.9483363126
1002550.839	0.4994833967	0	0.5005166033	0.9440447123	0.03800289869	0.9491507961	0.9482687361
1002560.99	0.4994813218	0	0.5005186782	0.9439767485	0.0379102381	0.9490829006	0.9482008952
1002571.141	0.499479247	0	0.500520753	0.9439085198	0.03781719637	0.9490147404	0.9481327899
1002581.292	0.4994771723	0	0.5005228277	0.9438400261	0.03772377347	0.9489463156	0.9480644201
1002591.441	0.4994750977	0	0.5005249023	0.9437712675	0.03762996939	0.9488776261	0.947995786
1002601.59	0.4994730234	0	0.5005269766	0.9437022439	0.03753578411	0.948808672	0.9479268874
1002611.739	0.4994709491	0	0.5005290509	0.9436329553	0.03744121761	0.9487394531	0.9478577243
1002621.887	0.499468875	0	0.500531125	0.9435634017	0.03734626986	0.9486699695	0.9477882968
1002632.034	0.499466801	0	0.500533199	0.943493583	0.03725094086	0.9486002212	0.9477186048
1002642.181	0.4994647272	0	0.5005352728	0.9434234994	0.03715523058	0.9485302082	0.9476486483
1002652.327	0.4994626535	0	0.5005373465	0.9433531507	0.03705913901	0.9484599304	0.9475784274
1002662.473	0.49946058	0	0.50053942	0.9432825369	0.03696266613	0.9483893879	0.9475079419
1002672.618	0.4994585066	0	0.5005414934	0.9432116581	0.03686581193	0.9483185805	0.9474371919
1002682.762	0.4994564334	0	0.5005435666	0.9431405143	0.03676857639	0.9482475085	0.9473661774
1002692.905	0.4994543604	0	0.5005456396	0.9430691053	0.0366709595	0.9481761716	0.9472948983
1002703.048	0.4994522874	0	0.5005477126	0.9429974313	0.03657296126	0.94810457	0.9472233548
1002713.191	0.4994502147	0	0.5005497853	0.9429254922	0.03647458164	0.9480327035	0.9471515466
1002723.332	0.4994481421	0	0.5005518579	0.942853288	0.03637582063	0.9479605723	0.947079474
1002733.473	0.4994460696	0	0.5005539304	0.9427808187	0.03627667823	0.9478881763	0.9470071367
1002743.613	0.4994439974	0	0.5005560026	0.9427080843	0.03617715442	0.9478155154	0.946934535
1002753.753	0.4994419252	0	0.5005580748	0.9426350848	0.0360772492	0.9477425897	0.9468616686
1002763.892	0.4994398533	0	0.5005601467	0.9425618202	0.03597696256	0.9476693993	0.9467885377
1002774.03	0.4994377815	0	0.5005622185	0.9424882905	0.03587629449	0.9475959439	0.9467151422
1002784.167	0.4994357098	0	0.5005642902	0.9424144956	0.03577524498	0.9475222238	0.9466414821
1002794.304	0.4994336384	0	0.5005663616	0.9423404356	0.03567381403	0.9474482388	0.9465675574
1002804.44	0.4994315671	0	0.5005684329	0.9422661105	0.03557200163	0.947373989	0.9464933682
1002814.576	0.4994294959	0	0.5005705041	0.9421915203	0.03546980778	0.9472994743	0.9464189143
1002824.71	0.4994274249	0	0.5005725751	0.9421166649	0.03536723246	0.9472246949	0.9463441959
1002834.844	0.4994253541	0	0.5005746459	0.9420415444	0.03526427569	0.9471496505	0.9462692129
1002844.977	0.4994232835	0	0.5005767165	0.9419661588	0.03516093746	0.9470743414	0.9461939653
1002855.11	0.499421213	0	0.500578787	0.941890508	0.03505721775	0.9469987673	0.9461184531
1002865.242	0.4994191428	0	0.5005808572	0.9418145921	0.03495311658	0.9469229285	0.9460426763
1002875.372	0.4994170726	0	0.5005829274	0.9417384111	0.03484863394	0.9468468248	0.9459666349
1002885.503	0.4994150027	0	0.5005849973	0.9416619649	0.03474376984	0.9467704563	0.9458903289
1002895.632	0.4994129329	0	0.5005870671	0.9415852536	0.03463852426	0.9466938229	0.9458137584
1002905.761	0.4994108634	0	0.5005891366	0.9415082772	0.03453289722	0.9466169247	0.9457369232
